fonte,produto,ano,cidade,preco_padrao,unidade_padrao,fonte_conversao,descricao
federal,carne_bovina,2019,Federal/ES,13.0,kg,heuristica,CARNE BOVINA IN NATURA
federal,disjuntor,2019,Federal/ES,37.0,unidade,unitario,BASE DE DISJUNTOR
federal,disjuntor,2019,Federal/ES,29.75,unidade,unitario,BASE DE DISJUNTOR
federal,disjuntor,2019,Federal/ES,5.18,unidade,unitario,BASE DE DISJUNTOR
federal,disjuntor,2019,Federal/ES,6.46,unidade,unitario,BASE DE DISJUNTOR
federal,disjuntor,2019,Federal/ES,5.18,unidade,unitario,BASE DE DISJUNTOR
federal,extintor,2019,Federal/ES,150.0,unidade,unitario,EXTINTOR INCÊNDIO
federal,extintor,2019,Federal/ES,170.0,unidade,unitario,EXTINTOR INCÊNDIO
federal,extintor,2019,Federal/ES,110.0,unidade,unitario,EXTINTOR INCÊNDIO
federal,extintor,2019,Federal/ES,300.0,unidade,unitario,EXTINTOR INCÊNDIO
federal,alcool,2019,Federal/ES,7.0,litro,heuristica,ÁLCOOL ETÍLICO
federal,mascara_descartavel,2019,Federal/ES,0.1,unidade,unitario,MÁSCARA CIRÚRGICA
federal,luva_procedimento,2019,Federal/ES,8.0,caixa_100,unitario,LUVA CIRÚRGICA
federal,luva_procedimento,2019,Federal/ES,8.0,caixa_100,unitario,LUVA CIRÚRGICA
federal,luva_procedimento,2019,Federal/ES,8.0,caixa_100,unitario,LUVA CIRÚRGICA
federal,fenobarbital,2019,Federal/ES,0.1,unidade,unitario,FENOBARBITAL SÓDICO
federal,dipirona,2019,Federal/ES,0.07,unidade,unitario,DIPIRONA SÓDICA
federal,paracetamol,2019,Federal/ES,0.05,unidade,unitario,PARACETAMOL
federal,anlodipino,2019,Federal/ES,0.02,unidade,unitario,ANLODIPINO BESILATO
federal,aas,2019,Federal/ES,0.36,unidade,unitario,ÁCIDO ACETILSALICÍLICO
federal,levotiroxina,2019,Federal/ES,0.1,unidade,unitario,LEVOTIROXINA SÓDICA
federal,levotiroxina,2019,Federal/ES,0.15,unidade,unitario,LEVOTIROXINA SÓDICA
federal,albendazol,2019,Federal/ES,1.68,unidade,unitario,ALBENDAZOL
federal,amoxicilina,2019,Federal/ES,8.15,unidade,unitario,AMOXICILINA
federal,amoxicilina,2019,Federal/ES,1.0,unidade,unitario,AMOXICILINA
federal,amoxicilina,2019,Federal/ES,11.85,unidade,unitario,AMOXICILINA
federal,alcool,2019,Federal/ES,10.3,litro,heuristica,ÁLCOOL ETÍLICO
